id_number,name,obf_email,classes,covid
205492,Ryleigh Richardson,ryleigh.richardson@obf.ateneo.edu,"F4,N6,R3",no
209736,Marely Ho,marely.ho@obf.ateneo.edu,"N6,Q2,F3",no
206320,Kaelyn Reyes,kaelyn.reyes@obf.ateneo.edu,"A9,B1,C6",no
201267,Marilyn Liu,marilyn.liu@obf.ateneo.edu,"D6,H6,L2",no
207662,Ronan Willis,ronan.willis@obf.ateneo.edu,"D6,K1,N1",no
208158,Zaire Arias,zaire.arias@obf.ateneo.edu,"B1,E1,G6",no
204296,Madyson Newman,madyson.newman@obf.ateneo.edu,"C1,W9,Z5",no
201548,Baylee Kim,baylee.kim@obf.ateneo.edu,"C1,D6,L5",no
201426,Rogelio Graves,rogelio.graves@obf.ateneo.edu,"Q2,J7,L5",no
206000,Davon Davenport,davon.davenport@obf.ateneo.edu,"R3,L5,N1",no
207236,Jasmine Fisher,jasmine.fisher@obf.ateneo.edu,"C1,D6,A3",no
203967,Braylon Dudley,braylon.dudley@obf.ateneo.edu,"D6,G7,J7",no
209794,Bryson Chan,bryson.chan@obf.ateneo.edu,"K7,N6,A3",no
206290,Cade Wu,cade.wu@obf.ateneo.edu,"D6,Z5,C6",no
200579,Amanda Mcdowell,amanda.mcdowell@obf.ateneo.edu,"Y3,Z5,H8",no
200364,Nelson Stafford,nelson.stafford@obf.ateneo.edu,"A9,E1,K1",no
207359,Valentino Braun,valentino.braun@obf.ateneo.edu,"X7,Z5,L5",no
201264,Vanessa Bernard,vanessa.bernard@obf.ateneo.edu,"A9,B1,W9",no
207296,Litzy Davila,litzy.davila@obf.ateneo.edu,"L2,F3,I3",no
201559,Payton Fisher,payton.fisher@obf.ateneo.edu,"A9,B1,I2",no
204556,Aryanna Kidd,aryanna.kidd@obf.ateneo.edu,"B9,M6,N1",no
208063,Caleb Walls,caleb.walls@obf.ateneo.edu,"B1,E7,N1",no
209007,Alec Sellers,alec.sellers@obf.ateneo.edu,"I2,K7,N1",no
206302,Bailey Oneill,bailey.oneill@obf.ateneo.edu,"Q2,I3,N1",no
206741,Ariana Ball,ariana.ball@obf.ateneo.edu,"D6,I2,M6",no
209235,Zane Farmer,zane.farmer@obf.ateneo.edu,"I2,M6,N1",no
203174,Lailah Pennington,lailah.pennington@obf.ateneo.edu,"C1,F4,E7",no
206456,Bria Hood,bria.hood@obf.ateneo.edu,"D6,U5,K1",no
203421,Paisley Dickerson,paisley.dickerson@obf.ateneo.edu,"I2,T6,W9",no
204763,Johanna Carr,johanna.carr@obf.ateneo.edu,"U5,Z5,B9",no
207100,Priscilla Parks,priscilla.parks@obf.ateneo.edu,"A9,C1,S4",no
204130,Denise Bryan,denise.bryan@obf.ateneo.edu,"A9,U5,X7",no
208862,Kymani Bridges,kymani.bridges@obf.ateneo.edu,"R3,C6,E7",no
203556,Lilian Hawkins,lilian.hawkins@obf.ateneo.edu,"G6,J7,N1",no
206747,Cynthia Deleon,cynthia.deleon@obf.ateneo.edu,"A9,B1,F3",no
205428,Ernest Roach,ernest.roach@obf.ateneo.edu,"F4,G7,I2",no
206454,Amirah Calhoun,amirah.calhoun@obf.ateneo.edu,"I2,Z5,N1",no
201461,Helena Ponce,helena.ponce@obf.ateneo.edu,"I3,J7,L5",no
205973,Mohammad Herrera,mohammad.herrera@obf.ateneo.edu,"I2,J7,W9",no
207171,Kristina Knapp,kristina.knapp@obf.ateneo.edu,"U5,V1,G6",no
205722,Dean Frederick,dean.frederick@obf.ateneo.edu,"I3,M6,N1",no
209701,Olive Mooney,olive.mooney@obf.ateneo.edu,"E1,F4,Q2",no
209702,Alanna Pineda,alanna.pineda@obf.ateneo.edu,"F4,L2,N6",no
207515,Isabell Hensley,isabell.hensley@obf.ateneo.edu,"E1,J7,Z5",no
202696,Katherine Fitzpatrick,katherine.fitzpatrick@obf.ateneo.edu,"D5,K1,N1",no
202358,Konner Rubio,konner.rubio@obf.ateneo.edu,"W9,B9,M6",no
202713,Maya Page,maya.page@obf.ateneo.edu,"A9,D6,I2",no
208742,Deven Morris,deven.morris@obf.ateneo.edu,"B9,K1,N1",no
201414,Cecilia Lopez,cecilia.lopez@obf.ateneo.edu,"S4,M6,N1",no
204023,Nayeli Walls,nayeli.walls@obf.ateneo.edu,"O2,K1,M6",no
204327,Layne Dunlap,layne.dunlap@obf.ateneo.edu,"E1,I3,J7",no
200643,Abraham Fernandez,abraham.fernandez@obf.ateneo.edu,"D6,J7,F3",no
206842,Christine Brandt,christine.brandt@obf.ateneo.edu,"E1,W9,Y3",no
209075,Averie Carrillo,averie.carrillo@obf.ateneo.edu,"X7,D5,M6",no
208032,Hezekiah Johns,hezekiah.johns@obf.ateneo.edu,"I2,K7,K1",no
205922,Ahmed Vargas,ahmed.vargas@obf.ateneo.edu,"E7,K1,L5",no
207175,Kelvin Ho,kelvin.ho@obf.ateneo.edu,"J7,K7,O2",no
202151,Kiley Pollard,kiley.pollard@obf.ateneo.edu,"X7,D5,G6",no
204292,Mary Henry,mary.henry@obf.ateneo.edu,"A9,X7,M6",no
204814,Yuliana Velazquez,yuliana.velazquez@obf.ateneo.edu,"K7,M6,T6",no
206578,Clarence Jackson,clarence.jackson@obf.ateneo.edu,"H8,K1,M6",no
205356,Hallie Horne,hallie.horne@obf.ateneo.edu,"W9,Y3,F3",no
204233,Myles Garrett,myles.garrett@obf.ateneo.edu,"A9,G7,L5",no
204740,Janae Blackburn,janae.blackburn@obf.ateneo.edu,"Q2,Z5,N1",no
207767,Mitchell Rivas,mitchell.rivas@obf.ateneo.edu,"U5,Y3,J7",no
201492,Braiden Bird,braiden.bird@obf.ateneo.edu,"A9,B1,O2",no
201670,Adison Nolan,adison.nolan@obf.ateneo.edu,"C1,T6,X7",no
202203,Sophie Molina,sophie.molina@obf.ateneo.edu,"B1,V1,Y3",no
207545,Holly Shah,holly.shah@obf.ateneo.edu,"R3,X7,K1",no
204169,Louis Cortez,louis.cortez@obf.ateneo.edu,"F4,I2,Q2",no
201013,Madalynn Meyer,madalynn.meyer@obf.ateneo.edu,"F4,V1,B9",no
208399,Rebekah Lozano,rebekah.lozano@obf.ateneo.edu,"L2,D5,M6",no
207362,Gavyn Hampton,gavyn.hampton@obf.ateneo.edu,"H6,I2,F3",no
205050,Myles Ford,myles.ford@obf.ateneo.edu,"D6,E1,M6",no
209038,Brynlee Carter,brynlee.carter@obf.ateneo.edu,"D6,H6,I2",no
207023,Elyse Cook,elyse.cook@obf.ateneo.edu,"T6,X7,H8",no
205312,Paulina Bradford,paulina.bradford@obf.ateneo.edu,"F4,H6,I2",no
205670,Nico Lucas,nico.lucas@obf.ateneo.edu,"A9,K7,J7",no
209158,Maddox Lindsey,maddox.lindsey@obf.ateneo.edu,"L2,E7,I3",no
202623,Esperanza Shelton,esperanza.shelton@obf.ateneo.edu,"D6,D5,I3",no
205581,Anika Daugherty,anika.daugherty@obf.ateneo.edu,"B1,F4,S4",no
206283,Bryanna Wilkins,bryanna.wilkins@obf.ateneo.edu,"U5,Z5,N1",no
207907,Charlie Byrd,charlie.byrd@obf.ateneo.edu,"B1,J7,N6",no
200512,Angelo Whitaker,angelo.whitaker@obf.ateneo.edu,"G7,K1,M6",no
206277,Kaylie Blanchard,kaylie.blanchard@obf.ateneo.edu,"K7,Z5,N1",no
207018,Yamilet Clayton,yamilet.clayton@obf.ateneo.edu,"I2,M6,U5",no
204663,Pranav Conley,pranav.conley@obf.ateneo.edu,"H6,J7,F3",no
204736,Jon Harvey,jon.harvey@obf.ateneo.edu,"A9,T6,U5",no
206865,Taryn Wise,taryn.wise@obf.ateneo.edu,"B1,I2,N6",no
207244,Marlene Kennedy,marlene.kennedy@obf.ateneo.edu,"L2,O2,F3",no
207286,Bridger Floyd,bridger.floyd@obf.ateneo.edu,"B1,D6,E1",no
208879,Harrison Dawson,harrison.dawson@obf.ateneo.edu,"T6,H8,N1",no
201919,Titus Nelson,titus.nelson@obf.ateneo.edu,"F4,L2,B9",no
207514,Braelyn Simpson,braelyn.simpson@obf.ateneo.edu,"U5,G6,H8",no
208321,Savanna Glover,savanna.glover@obf.ateneo.edu,"B1,S4,I3",no
205580,Nataly Salinas,nataly.salinas@obf.ateneo.edu,"D6,M6,R3",no
208836,Jordyn Espinoza,jordyn.espinoza@obf.ateneo.edu,"C6,K1,L5",no
204706,Shayla Benton,shayla.benton@obf.ateneo.edu,"B1,F4,N6",no
208673,Emiliano Wu,emiliano.wu@obf.ateneo.edu,"A9,R3,C6",no
204587,Miguel Wade,miguel.wade@obf.ateneo.edu,"W9,E7,F3",no
203304,Marquis Shannon,marquis.shannon@obf.ateneo.edu,"U5,G6,H8",no
205035,Marquise Walter,marquise.walter@obf.ateneo.edu,"E1,J7,M6",no
208297,Darwin Hill,darwin.hill@obf.ateneo.edu,"S4,D5,L5",no
205857,Tatum Gilbert,tatum.gilbert@obf.ateneo.edu,"G7,H6,E7",no
207806,Jazmin Frost,jazmin.frost@obf.ateneo.edu,"B1,C1,D6",no
201531,Adrian Bowman,adrian.bowman@obf.ateneo.edu,"M6,T6,Z5",no
206249,Jensen Ingram,jensen.ingram@obf.ateneo.edu,"A9,F4,I2",no
203790,Jaquan Hunter,jaquan.hunter@obf.ateneo.edu,"A9,B1,C1",no
205274,Rohan Delacruz,rohan.delacruz@obf.ateneo.edu,"B1,D6,W9",no
202245,Cadence Neal,cadence.neal@obf.ateneo.edu,"A9,B1,D6",no
205779,Tiana Washington,tiana.washington@obf.ateneo.edu,"A9,B1,J7",no
201014,Joe Hicks,joe.hicks@obf.ateneo.edu,"B1,E1,J7",no
202108,Tyshawn Mayo,tyshawn.mayo@obf.ateneo.edu,"L2,S4,U5",no
202969,Meadow Soto,meadow.soto@obf.ateneo.edu,"I2,K7,Y3",no
203578,Melody Watkins,melody.watkins@obf.ateneo.edu,"G7,L2,Y3",no
205311,Hamza Frey,hamza.frey@obf.ateneo.edu,"C6,M6,N1",no
202208,William Murray,william.murray@obf.ateneo.edu,"S4,J7,L5",no
203565,Jackson Santiago,jackson.santiago@obf.ateneo.edu,"A9,N6,L5",no
206172,Zack Mahoney,zack.mahoney@obf.ateneo.edu,"J7,K7,Z5",no
201265,Ada Shah,ada.shah@obf.ateneo.edu,"A9,N6,B9",no
206412,Mariana Grimes,mariana.grimes@obf.ateneo.edu,"A9,R3,E7",no
200156,Justin Haynes,justin.haynes@obf.ateneo.edu,"H6,L2,Z5",no
200595,Amy Wang,amy.wang@obf.ateneo.edu,"K7,A3,M6",no
208982,Derick Esparza,derick.esparza@obf.ateneo.edu,"A9,M6,Z5",no
209800,Mylee Bruce,mylee.bruce@obf.ateneo.edu,"H6,H8,N1",no
206359,Aimee Alvarado,aimee.alvarado@obf.ateneo.edu,"K7,I2,J7",no
200938,Tanner Morrison,tanner.morrison@obf.ateneo.edu,"A9,X7,I3",no
205849,Harley Taylor,harley.taylor@obf.ateneo.edu,"A9,B1,E1",no
202679,Sophie Liu,sophie.liu@obf.ateneo.edu,"X7,D5,J7",no
205501,Daniella Beltran,daniella.beltran@obf.ateneo.edu,"B1,D6,L2",no
207161,Liberty Young,liberty.young@obf.ateneo.edu,"A9,F3,M6",no
203720,Alayna Schroeder,alayna.schroeder@obf.ateneo.edu,"D6,K7,N1",no
209746,Lillianna Gaines,lillianna.gaines@obf.ateneo.edu,"S4,V1,Y3",no
202343,Emmett Kennedy,emmett.kennedy@obf.ateneo.edu,"X7,D5,K1",no
207591,Kieran Brooks,kieran.brooks@obf.ateneo.edu,"Z5,D5,H8",no
203128,Mercedes Rocha,mercedes.rocha@obf.ateneo.edu,"C1,X7,E7",no
205937,Dominique Howard,dominique.howard@obf.ateneo.edu,"B1,G6,K1",no
207214,Eliezer Fischer,eliezer.fischer@obf.ateneo.edu,"L2,W9,Z5",no
202009,Tanya Moran,tanya.moran@obf.ateneo.edu,"T6,C6,L5",no
208178,Brittany Wall,brittany.wall@obf.ateneo.edu,"T6,F3,M6",no
206757,Deshawn Rose,deshawn.rose@obf.ateneo.edu,"D6,V1,Z5",no
207658,Terrance Key,terrance.key@obf.ateneo.edu,"A9,B1,D5",no
207880,Dorian Fischer,dorian.fischer@obf.ateneo.edu,"C6,E7,F3",no
200631,Enrique Summers,enrique.summers@obf.ateneo.edu,"I2,S4,W9",no
205515,Harper White,harper.white@obf.ateneo.edu,"Y3,Z5,I3",no
202690,Darwin Boyer,darwin.boyer@obf.ateneo.edu,"A9,I2,B9",no
208317,Adalynn Schroeder,adalynn.schroeder@obf.ateneo.edu,"V1,M6,N1",no
209329,Alexus Goodwin,alexus.goodwin@obf.ateneo.edu,"Q2,K1,N1",no
209822,Araceli Howe,araceli.howe@obf.ateneo.edu,"U5,C6,F3",no
202617,Cassie Cordova,cassie.cordova@obf.ateneo.edu,"J7,M6,Y3",no
206731,Savanna Anderson,savanna.anderson@obf.ateneo.edu,"A9,F4,M6",no
201640,Allyson Knapp,allyson.knapp@obf.ateneo.edu,"A9,B1,E1",no
204935,Keenan Swanson,keenan.swanson@obf.ateneo.edu,"J7,L5,M6",no
202971,Jameson Bass,jameson.bass@obf.ateneo.edu,"M6,S4,T6",no
209748,Glenn Norton,glenn.norton@obf.ateneo.edu,"D6,H8,K1",no
206827,Madilyn Stephens,madilyn.stephens@obf.ateneo.edu,"U5,B9,G6",no
202127,Salvador Mccann,salvador.mccann@obf.ateneo.edu,"Q2,C6,J7",no
204578,Juliet Caldwell,juliet.caldwell@obf.ateneo.edu,"L2,I2,Y3",no
206941,Saul Lewis,saul.lewis@obf.ateneo.edu,"F4,D5,E7",no
207417,Zara Walls,zara.walls@obf.ateneo.edu,"T6,A3,D5",no
206087,Elliot Hansen,elliot.hansen@obf.ateneo.edu,"C1,H6,T6",no
203033,Belen Murray,belen.murray@obf.ateneo.edu,"J7,N6,R3",no
203208,London Stokes,london.stokes@obf.ateneo.edu,"H6,U5,Y3",no
203505,Gillian Wilkerson,gillian.wilkerson@obf.ateneo.edu,"S4,V1,C6",no
206547,Audrey Malone,audrey.malone@obf.ateneo.edu,"F4,G7,L2",no
209933,Nayeli Hoffman,nayeli.hoffman@obf.ateneo.edu,"A3,D5,K1",no
207205,Caitlin Blair,caitlin.blair@obf.ateneo.edu,"V1,Y3,C6",no
206686,Darien Stephenson,darien.stephenson@obf.ateneo.edu,"B1,C1,L5",no
205881,Reina Carlson,reina.carlson@obf.ateneo.edu,"K7,L5,M6",no
205094,Talon Mclaughlin,talon.mclaughlin@obf.ateneo.edu,"J7,N6,D5",no
207145,Adan Stanley,adan.stanley@obf.ateneo.edu,"R3,F3,N1",no
204858,Arturo Dunlap,arturo.dunlap@obf.ateneo.edu,"B1,C1,I2",no
206117,Pierce Meyers,pierce.meyers@obf.ateneo.edu,"E1,T6,D5",no
203684,Emma Norris,emma.norris@obf.ateneo.edu,"L2,S4,V1",no
203497,Kareem Key,kareem.key@obf.ateneo.edu,"E1,L5,M6",no
206453,Nikhil Rodgers,nikhil.rodgers@obf.ateneo.edu,"L2,M6,N6",no
206037,Jaylin Zhang,jaylin.zhang@obf.ateneo.edu,"R3,T6,J7",no
204702,Priscilla Wagner,priscilla.wagner@obf.ateneo.edu,"J7,M6,T6",no
206639,Callum Friedman,callum.friedman@obf.ateneo.edu,"A9,B1,D6",no
202864,Preston Webster,preston.webster@obf.ateneo.edu,"J7,L5,M6",no
201411,Rodrigo Bates,rodrigo.bates@obf.ateneo.edu,"B1,E1,G6",no
207584,Amaya Martinez,amaya.martinez@obf.ateneo.edu,"T6,D5,F3",no
206336,Aubrie Martinez,aubrie.martinez@obf.ateneo.edu,"R3,Z5,K1",no
200786,Laura Moon,laura.moon@obf.ateneo.edu,"H8,K1,N1",no
209148,Darwin Pittman,darwin.pittman@obf.ateneo.edu,"A9,B1,I2",no
201802,Ryland Morton,ryland.morton@obf.ateneo.edu,"V1,F3,M6",no
209112,Maleah Ruiz,maleah.ruiz@obf.ateneo.edu,"Y3,I3,J7",no
201987,Deshawn Booth,deshawn.booth@obf.ateneo.edu,"B1,D6,Q2",no
209239,Conrad Wyatt,conrad.wyatt@obf.ateneo.edu,"J7,I3,N1",no
200324,Julio Brooks,julio.brooks@obf.ateneo.edu,"T6,G6,I3",no
208994,Ana Jackson,ana.jackson@obf.ateneo.edu,"F3,G6,K1",no
206638,Kinley Sharp,kinley.sharp@obf.ateneo.edu,"H6,J7,Q2",no
206720,Nina Edwards,nina.edwards@obf.ateneo.edu,"H8,J7,L5",no
201525,Ashlyn Webb,ashlyn.webb@obf.ateneo.edu,"I2,M6,K1",no
206918,Melissa Hunt,melissa.hunt@obf.ateneo.edu,"C1,E1,V1",no
207727,Harrison Porter,harrison.porter@obf.ateneo.edu,"U5,J7,N1",no
209553,Conor David,conor.david@obf.ateneo.edu,"E1,W9,B9",no
205727,Elle Allison,elle.allison@obf.ateneo.edu,"M6,X7,K1",no
204171,Chana Montgomery,chana.montgomery@obf.ateneo.edu,"L2,I2,T6",no
208330,Tara Allen,tara.allen@obf.ateneo.edu,"X7,A3,C6",no
207331,Celia Gomez,celia.gomez@obf.ateneo.edu,"B9,J7,N1",no
201924,Angie Beltran,angie.beltran@obf.ateneo.edu,"G6,H8,L5",no
205613,Jaylyn Cross,jaylyn.cross@obf.ateneo.edu,"T6,X7,I3",no
200554,Hugo Dickson,hugo.dickson@obf.ateneo.edu,"C1,N6,I3",no
200020,Geovanni Morse,geovanni.morse@obf.ateneo.edu,"K7,Z5,H8",no
207453,Carl Holt,carl.holt@obf.ateneo.edu,"C1,V1,D5",no
209187,Simeon Hall,simeon.hall@obf.ateneo.edu,"E1,Q2,I3",no
204783,Emilie Cohen,emilie.cohen@obf.ateneo.edu,"M6,U5,H8",no
205568,Jacqueline Castillo,jacqueline.castillo@obf.ateneo.edu,"X7,Y3,B9",no
208375,Lucia Stone,lucia.stone@obf.ateneo.edu,"D5,F3,M6",no
209197,Phoenix Phillips,phoenix.phillips@obf.ateneo.edu,"O2,F3,G6",no
200593,Rishi Williams,rishi.williams@obf.ateneo.edu,"D6,H8,N1",no
200131,Heath Baker,heath.baker@obf.ateneo.edu,"A9,C1,Y3",no
201159,Memphis Bray,memphis.bray@obf.ateneo.edu,"A9,Q2,R3",no
202216,Alexa Hooper,alexa.hooper@obf.ateneo.edu,"H6,I2,T6",no
206107,Giada Willis,giada.willis@obf.ateneo.edu,"D6,G7,R3",no
204928,Kira Hanson,kira.hanson@obf.ateneo.edu,"C1,X7,Z5",no
206879,Madeline Morris,madeline.morris@obf.ateneo.edu,"G7,H6,M6",no
206108,Nickolas Weaver,nickolas.weaver@obf.ateneo.edu,"T6,U5,V1",no
200898,Mila Dorsey,mila.dorsey@obf.ateneo.edu,"K7,N6,O2",no
209291,Elianna Jordan,elianna.jordan@obf.ateneo.edu,"J7,O2,N1",no
207617,Amiya Ellison,amiya.ellison@obf.ateneo.edu,"J7,I2,F3",no
204619,Stephany Shields,stephany.shields@obf.ateneo.edu,"O2,C6,N1",no
208652,Emiliano Mills,emiliano.mills@obf.ateneo.edu,"M6,U5,L5",no
200323,Houston Fisher,houston.fisher@obf.ateneo.edu,"G7,K7,D5",no
200982,Jaidyn Luna,jaidyn.luna@obf.ateneo.edu,"O2,V1,X7",no
202273,Juliet Dougherty,juliet.dougherty@obf.ateneo.edu,"D6,M6,L5",no
209672,Rhett Chaney,rhett.chaney@obf.ateneo.edu,"W9,I3,M6",no
205793,Johnny Marks,johnny.marks@obf.ateneo.edu,"V1,H8,N1",no
202757,Marin Clarke,marin.clarke@obf.ateneo.edu,"S4,H8,J7",no
206897,Luis Hunter,luis.hunter@obf.ateneo.edu,"F4,U5,D5",no
200114,Louis Villarreal,louis.villarreal@obf.ateneo.edu,"O2,T6,N1",no
208368,August Martinez,august.martinez@obf.ateneo.edu,"A9,B1,E1",no
209558,Maryjane Good,maryjane.good@obf.ateneo.edu,"R3,Y3,H8",no
209981,Carolina Becker,carolina.becker@obf.ateneo.edu,"T6,M6,N1",no
204285,Dayton Tyler,dayton.tyler@obf.ateneo.edu,"Q2,V1,X7",no
206086,Londyn Elliott,londyn.elliott@obf.ateneo.edu,"K1,M6,N1",no
203102,Sophia Herman,sophia.herman@obf.ateneo.edu,"M6,C6,F3",no
208320,Ivy Manning,ivy.manning@obf.ateneo.edu,"Y3,L5,M6",no
208799,Carina Durham,carina.durham@obf.ateneo.edu,"A9,C1,E1",no
206116,Quinten Allen,quinten.allen@obf.ateneo.edu,"A9,B1,F4",no
205152,Jonah Townsend,jonah.townsend@obf.ateneo.edu,"A9,E1,L5",no
